These SEM2 and YEAR courses were OPEN at the start of the day on,,,,,Tue SEP 2,,,
Type:,"2 = sem2,",y = year,(dance seasons:,"w = winter,",s = spring).,,,
Block:,A = all three periods in A block.,,"A13 = A1 and A3, not A2",,"(""A one three"").",,,
,AS = After School (after 2:55).,,TBA = To Be Arranged.,,,,,
number,title,,type,block,number,title,type,block
ENG101,Freshman English,,y,.B,GER101,German 1,y,.B
ENG101,Freshman English,,y,.E,GER201,German 2,y,.E
ENG101,Freshman English,,y,.G,GER301,German 3,y,.A
ENG201,Sophomore English,,y,.A,GER403,Adv German: Hist,y,.G
ENG201,Sophomore English,,y,.B,LAT101,Latin 1,y,.B
ENG201,Sophomore English,,y,.C,LAT201,Latin 2,y,.D
ENG201,Sophomore English,,y,.D,MAN101,Mandarin 1,y,.D
ENG201,Sophomore English,,y,.F,MAN201,Mandarin 2,y,.G
ENG313,Bible,,2,.A,MAN301,Mandarin 3,y,.E
ENG313,Bible,,2,.E,MAN402,Adv Mandarin,y,.C
ENG314,Creative Nonfict,,2,.G,SPA101,Spanish 1,y,.C
ENG316,Short Fiction,,2,.D,SPA101,Spanish 1,y,.E
ENG316,Short Fiction,,2,.F,SPA101,Spanish 1,y,.G
ENG322,Lit Infernal,,2,.B,SPA201,Spanish 2,y,.F
ENG322,Lit Infernal,,2,.E,SPA301,Spanish 3,y,.A
ENG322,Lit Infernal,,2,.F,SPA301,Spanish 3,y,.C
ENG323,Lit Transgression,,2,.A,SPA301,Spanish 3,y,.D
ENG323,Lit Transgression,,2,.G,SPA404,Adv Spanish: Lit,y,.C
ENG324,African Amer Lit,,2,.C,BIO101,Biology,y,.A
ENG701,Screenwriting-ENG,,2,.A,BIO101,Biology,y,.B
HIS107,Muslim World,,2,.E,BIO101,Biology,y,.C
HIS107,Muslim World,,2,.G,BIO101,Biology,y,.E
HIS207,Catholic Empire,,2,.A,BIO101,Biology,y,.F
HIS207,Catholic Empire,,2,.G,BIO101,Biology,y,.G
HIS208,South&Central Amer,,2,.C,BIO301,Human Evol Bio,2,.A
HIS209,Scientific Revol,,2,.A,BIO401,Adv Biology,y,.D
HIS211,US Civil War,,2,.F,CHE201,Chemistry,y,.A
HIS309,Atl Slave Trade,,2,.E,CHE201,Chemistry,y,.B
HIS309,Atl Slave Trade,,2,.G,CHE201,Chemistry,y,.C
HIS310,20th-C Europe,,2,.E,CHE201,Chemistry,y,.D
HIS312,Korea Vietnam US,,2,.F,CHE201,Chemistry,y,.F
HIS316,US Oral History,,2,.D,CHE201,Chemistry,y,.G
HIS316,US Oral History,,2,.G,CHE401,Adv Chemistry,y,.C
HIS317,US Boston Class,,2,.A,CHE401,Adv Chemistry,y,.E
HIS317,US Boston Class,,2,.B,ENV204,Appl Earth Systems,2,.B
HIS702,Art History 2-HIS,,2,.F,ENV204,Appl Earth Systems,2,.D
FRE101,French 1,,y,.A,ENV302,Sci: Boston Class,2,.A
FRE101,French 1,,y,.F,ENV302,Sci: Boston Class,2,.B
FRE201,French 2,,y,.B,ENV401,AES Communities,2,.G
FRE404,Adv French: Hist,,y,.E,ENV402,AES Energy,2,.C
These SEM2 and YEAR courses were OPEN at the start of the day on,,,,,Tue SEP 2,,,
Type:,"2 = sem2,",y = year,(dance seasons:,"w = winter,",s = spring).,,,
Block:,A = all three periods in A block.,,"A13 = A1 and A3, not A2",,"(""A one three"").",,,
,AS = After School (after 2:55).,,TBA = To Be Arranged.,,,,,
number,title,,type,block,number,title,type,block
PHY301,Physics,,y,.C,FIL202,Film 2: Doc,2,.G12
PHY301,Physics,,y,.D,FIL203,Improv Film,y,.D
PHY301,Physics,,y,.G,FIL702,Screenwriting-VIS,2,.A
PHY304,Meteorology,,2,.E,PAI101,Painting 1,2,.B13
PHY304,Meteorology,,2,.F,PAI101,Painting 1,2,.G12
PHY402,Adv Physics: EM,,2,.F,PAI201,Painting 2,2,.A13
PHY402,Adv Physics: EM,,2,.G,PAI301,Painting 3,2,.A13
MAT102,Intermed Algebra,,2,.G,PHO101,Photography 1,2,.A13
MAT201,Geometry 1,,2,.C,PHO101,Photography 1,2,.D12
MAT201,Geometry 1,,2,.G,PHO201,Photography 2,2,.G12
MAT202,Geometry 2,,2,.B,PHO301,Photography 3,2,.B
MAT202,Geometry 2,,2,.E,PRI102,Printmaking,2,.D12
MAT202,Geometry 2,,2,.F,VIS601,Concord Art Cons,2,.AS
MAT203,Algebra 2,,2,.C,VIS702,Art History 2-VIS,2,.F
MAT203,Algebra 2,,2,.D,VIS703,Arts in Collab-VIS,2,.A13
MAT301,Statistics,,2,.A,DAN101,Dance 1,2,.G12
MAT301,Statistics,,2,.C,DAN201,Dance 2 -w,w,.AS
MAT301,Statistics,,2,.D,DAN201,Dance 2 -s,s,.AS
MAT402,Intro Calculus,,2,.D,MUS101,Indiv Music Instruc,y,.TBA
MAT404,Calculus: Part B,,2,.B,MUS103,Chorus,y,.H1+AS
MAT404,Calculus: Part B,,2,.G,MUS105,Human Voice,2,.C23
MAT407,Adv Economics,,2,.B,MUS111,Basic Piano,2,.E12
MAT602,Cal-Based Stats,,2,.F13,MUS113,Basic Guitar,2,.C12
CST101,Creative Computing,,2,.B13,MUS202,Music Composition,y,.TBA
CST101,Creative Computing,,2,.E23,MUS404,Music Theory 2,2,.F
ARC101,Architecture,,2,.G12,PER701,Arts in Collab-PER,2,.A13
CER101,Ceramics 1,,2,.C23,THE102,Theatre 1: Act Text,2,.F13
CER101,Ceramics 1,,2,.E23,THE202,Theatre 2: 20th C,2,.E23
CER202,Cer 2: Wheel,,2,.D12,HEA101,H&W: Freshman Sem,y,.C1
CER202,Cer 2: Wheel,,2,.F13,HEA101,H&W: Freshman Sem,y,.E1
CER302,Cer 3: Wheel,,2,.D12,HEA101,H&W: Freshman Sem,y,.A2
CER302,Cer 3: Wheel,,2,.F13,HEA101,H&W: Freshman Sem,y,.F2
DRA101,Drawing 1,,2,.A13,HEA101,H&W: Freshman Sem,y,.G3
DRA201,Drawing 2,,2,.B13,HEA201,H&W: Sophomore Sem,2,.H1
DRA201,Drawing 2,,2,.C23,HEA201,H&W: Sophomore Sem,2,.E2
DRA301,Drawing 3,,2,.B13,HEA301,H&W: Junior Sem,2,.C1
DRA301,Drawing 3,,2,.C23,HEA301,H&W: Junior Sem,2,.E1
FIB102,Fiber Arts: Pattern,,2,.F13,HEA301,H&W: Junior Sem,2,.B2
FIL101,Filmmaking 1,,2,.C23,HEA301,H&W: Junior Sem,2,.A2
FIL101,Filmmaking 1,,2,.E23,HEA301,H&W: Junior Sem,2,.F2
These SEM2 and YEAR courses were OPEN at the start of the day on,,,,,Tue SEP 2,,,
Type:,"2 = sem2,",y = year,(dance seasons:,"w = winter,",s = spring).,,,
Block:,A = all three periods in A block.,,"A13 = A1 and A3, not A2",,"(""A one three"").",,,
,AS = After School (after 2:55).,,TBA = To Be Arranged.,,,,,
number,title,,type,block,number,title,type,block
HEA301,H&W: Junior Sem,,2,.D3,,,,
HEA301,H&W: Junior Sem,,2,.G3,,,,
